line_id,line_name,group_code,created_at
1,Xe 219-05-26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
2,Xe 219-24,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
3,Xe 219-26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
4,Xe đạp đôi 26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
5,Xe GN 05-26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
6,Xe GN 05-27,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
7,Xe GN 06-24,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
8,Xe GN 06-24 2.0,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
9,Xe GN 06-26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
10,Xe GN 06-26 2.0,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
11,Xe GN 06-27,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
12,Xe GN 06-27 2.0,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
13,Xe LD 24-01_2023,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
14,Xe LD 24-02,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
15,Xe LD 26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
16,Xe M 27-01,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
17,Xe MTB 24-03,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
18,Xe MTB 26 02,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
19,Xe Nam,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
20,Xe New 24,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
21,Xe New 26,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
22,Xe Nữ,CITYBIKE_P,2026-05-26 16:47:27.716285+07:00
23,Xe GN 06 2.0 20 DC (IP - Bản quyền),KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
24,Xe GN 06 20,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
25,Xe GN 06 20 2024,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
26,Xe MTB 20-04,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
27,Xe MTB 20-05,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
28,Xe Neo 20-02,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
29,Xe Neo 20-02 Bubble,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
30,Xe Neo 20-03,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
31,Xe Neo 2004,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
32,Xe Puppy 20,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
33,Xe TE 16 Ben 10 (IP - Bản quyền),KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
34,Xe TE 16 Teen Titans Go (IP - Bản quyền),KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
35,Xe TE 1602,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
36,Xe TE 16-03,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
37,Xe TE 16-04,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
38,Xe TE 1605,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
39,Xe TE Super 20,KIDBIKE_1,2026-05-26 16:47:27.716285+07:00
40,Xe Bunny 12,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
41,Xe Bunny 16,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
42,Xe Love 12,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
43,Xe Love 16,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
44,Xe Robot 16,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
45,Xe Spaceboy 12,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
46,Xe Spaceboy 16,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
47,Xe TE 12 Princess,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
48,Xe TE 16 Princess,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
49,Xe TE 16 RB Jenny,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
50,Xe TE 20 Kitten,KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
51,Xe TE Batman12 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
52,Xe TE Batman16 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
53,Xe TE Powerpuff Girls 12 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
54,Xe TE Powerpuff Girls 16 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
55,Xe TE Super Man 12 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
56,Xe TE Super Man 16 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
57,Xe TE Wonder Woman 20 (IP - Bản quyền),KIDBIKE_2,2026-05-26 16:47:27.716285+07:00
58,Xe FLASH (IP - Bản quyền),SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
59,Xe GN 06-26 2.0 Pro,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
60,Xe GN 06-26 2.0 Pro Shimano,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
61,Xe GN 06-27 2.0 Pro,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
62,Xe GN 06-27 2.0 Pro Shimano,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
63,Xe Highway 27.5,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
64,Xe M2601,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
65,Xe M2601 Shimano,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
66,Xe MTB 24-04,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
67,Xe MTB 26-05_2023,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
68,Xe MTB 26-07,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
69,Xe Super 24,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
70,Xe Super 26,SPORTBIKE_S,2026-05-26 16:47:27.716285+07:00
71,"Xe GRX AT 27,5_2.0",SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
72,Xe MTB Cyber 27.5,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
73,Xe MTB Cyber 27.5 2024,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
74,Xe MTB SPD 27.5,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
75,Xe Road RPD 700C,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
76,Xe SLX 26-01,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
77,Xe Touring Blade 700C,SPORTBIKE_A,2026-05-26 16:47:27.716285+07:00
