base_color,color,Group_Share_Aggressive_Qty,Group_Share_Base_Qty,XGBoost_ML_Upside_Qty,Group_Share_Aggressive_Rev,Group_Share_Base_Rev,XGBoost_ML_Upside_Rev
Be,Be,0.8477008091572922,0.7419775014801657,57.75937843322754,5798508.347760015,5075331.637892243,395090147.8311024
Cam,Cam,483.1894612196566,422.92717584369456,892.7865056991577,694887848.9670674,608223024.4631543,1581390042.7609565
Chưa Xác Định,Chưa Xác Định,137.32753108348135,120.20035523978683,812.0282278060913,130757849.81251232,114450029.60331556,812956190.8245087
Chưa xác định,Chưa xác định,1074.8846260114465,940.8274718768503,900.8555774688721,1594501807.5127785,1395639185.9765425,1294128294.7161446
Ghi,Ghi,4921.750897967239,4307.921373593843,3723.0209217071533,9268813534.529902,8112828292.416973,7891464902.221822
Hồng,Hồng,4359.725261495954,3815.990290112493,3329.0440282821655,6268151470.134403,5486401943.3141575,4837466642.988774
Kem,Kem,7482.655042431419,6549.435405565424,5016.5692138671875,11629092363.922243,10178738540.125734,7774912097.422867
Nâu,Café/Nâu,2304.0507992895205,2016.6948490230907,1940.0459518432617,3483641260.320455,3049169483.458846,2945712207.4043164
Nâu,Nâu,1.6954016183145841,1.4839550029603312,199.99884414672852,7189759.15425301,6293068.823209,848143298.3256416
Trắng,Trắng,3264.495816064733,2857.3553582001186,2823.072967529297,5709954022.374357,4997821605.596497,5028621761.408082
Tím,Tím,431.4797118610618,377.6665482534044,463.6718807220459,608170654.0569215,532320999.9283874,644660622.8836983
Vàng,Chanh,76.29307282415631,66.77797513321492,91.68961906433105,93347726.77581412,81705611.61882773,112186037.23463674
Vàng,Vàng,257.70104598381687,225.56116044997043,400.19083881378174,300453990.4950137,262982055.42454627,514612864.58412397
Xanh,Xanh,3092.412551805802,2706.733925399645,2974.800687789917,5272464375.074236,4614894667.317556,5405237136.13647
Xanh,Xanh Tím,623.9077955397671,546.095441089402,467.37802124023443,918259410.7905971,803736195.5645308,685008551.6975657
Xanh Dương,Coban,771.407736333136,675.199526346951,1348.4773559570312,1135085799.566761,993520492.6433997,1965303890.7152007
Xanh Dương,Pastel Xanh,940.1001973554371,822.8530491415039,745.5933685302734,1636705020.7310472,1432578910.8887494,1298070581.33814
Xanh Dương,Xanh Dương,1367.3414051707125,1196.8097098875076,1932.4655833244324,1880840159.8743327,1646266073.3973277,3482645907.393931
Xanh Dương,Xanh Nước Biển,0.0,0.0,100.09794998168945,0.0,0.0,125122437.47711182
Xanh Dương,Xanh Santorini,504.38198144858893,441.47661338069867,667.1857757568359,815482903.8164251,713777739.6662006,1147953415.487264
Xanh Lá,Rêu,9.324708900730215,8.161752516281824,35.18472671508789,22322308.740951255,19538321.40769686,84228295.06652832
Xanh Lá,Xanh Lá,27.12642589303335,23.743280047365303,51.85705280303955,185552267.1283205,162410612.4125518,354716605.57641697
Xanh Ngọc/Mint,Mint,33.90803236629169,29.679100059206633,88.29710006713867,34940970.49573054,30583212.505703572,90986888.74001057
Xanh Ngọc/Mint,Ngọc,1006.220860469706,880.7272942569568,740.6694641113281,1542217721.59668,1349875851.7716753,1134825322.2329803
Xanh Ngọc/Mint,Xanh Mint,1202.8874481941978,1052.8660746003552,840.3278121948242,1830804793.4159853,1602471003.4984143,1277599252.3921456
Xanh Ngọc/Mint,Xanh Ngọc,5.086204854943753,4.451865008880994,69.06571674346924,26272837.801756464,22996149.51213736,356759592.9407939
Đen,Đen,6623.0864219459245,5797.070219064535,5961.636079788208,11619592267.941135,10170423274.404928,10654431741.044056
Đen/Hồng,Đen/Hồng,0.0,0.0,40.87345600128174,0.0,0.0,55179165.60173035
Đỏ,Đỏ,935.8616933096507,819.1431616341031,1338.0225502252579,1358418020.1217728,1188999229.0293617,2287155104.84363
Đỏ,Đỏ Tươi,427.24120781527535,373.9566607460036,613.4934720993042,654118109.8743329,572537994.0594469,891834147.1318419
Đỏ,Đỏ Đun,586.6089599368463,513.4484310242748,665.4278236627579,866602716.6400021,758522006.2579452,975089296.4138796
